"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00085379","3.0","ERS1441670","MGYS00001105","metagenomic",,"ERR1725798",
"MGYA00087137","3.0","ERS1458876","MGYS00001336","metagenomic",,"ERR1743284",
"MGYA00087194","3.0","ERS1458946","MGYS00001336","metagenomic",,"ERR1743354",
"MGYA00069103","3.0","ERS1245390","MGYS00001177","metagenomic",,"ERR1527239",
"MGYA00087183","3.0","ERS1458904","MGYS00001336","metagenomic",,"ERR1743312",
"MGYA00069087","3.0","ERS1245390","MGYS00001177","metagenomic",,"ERR1527242",
"MGYA00087176","3.0","ERS1458936","MGYS00001336","metagenomic",,"ERR1743344",
"MGYA00100725","3.0","ERS1276019","MGYS00001520","metagenomic",,"ERR1554592",
"MGYA00069109","3.0","ERS1245399","MGYS00001177","metagenomic",,"ERR1527277",
"MGYA00087102","3.0","ERS1458944","MGYS00001336","metagenomic",,"ERR1743352",
"MGYA00087167","3.0","ERS1458932","MGYS00001336","metagenomic",,"ERR1743340",
"MGYA00069098","3.0","ERS1245392","MGYS00001177","metagenomic",,"ERR1527247",
"MGYA00087156","3.0","ERS1458925","MGYS00001336","metagenomic",,"ERR1743333",
"MGYA00085585","3.0","ERS1444878","MGYS00001310","metagenomic",,"ERR1727065",
"MGYA00087138","3.0","ERS1458966","MGYS00001336","metagenomic",,"ERR1743374",
"MGYA00087158","3.0","ERS1458943","MGYS00001336","metagenomic",,"ERR1743351",
"MGYA00112303","3.0","ERS1222672","MGYS00001690","metagenomic",,"ERR1474559",
"MGYA00069076","3.0","ERS1245391","MGYS00001177","metagenomic",,"ERR1527244",
"MGYA00123074","3.0","ERS1696839","MGYS00001736","metagenomic",,"ERR1951255",
"MGYA00112307","3.0","ERS1222671","MGYS00001690","metagenomic",,"ERR1474558",
"MGYA00085388","3.0","ERS1443825","MGYS00001105","metagenomic",,"ERR1725853",
"MGYA00087212","3.0","ERS1458937","MGYS00001336","metagenomic",,"ERR1743345",
"MGYA00087120","3.0","ERS1458878","MGYS00001336","metagenomic",,"ERR1743286",
"MGYA00087105","3.0","ERS1458964","MGYS00001336","metagenomic",,"ERR1743372",
"MGYA00098277","3.0","ERS632771","MGYS00001472","metagenomic",,"ERR711863",
"MGYA00069094","3.0","ERS1245390","MGYS00001177","metagenomic",,"ERR1527241",
"MGYA00087121","3.0","ERS1458913","MGYS00001336","metagenomic",,"ERR1743321",
"MGYA00087214","3.0","ERS1458979","MGYS00001336","metagenomic",,"ERR1743387",
"MGYA00087204","3.0","ERS1458960","MGYS00001336","metagenomic",,"ERR1743368",
"MGYA00069082","3.0","ERS1245399","MGYS00001177","metagenomic",,"ERR1527275",
"MGYA00123077","3.0","ERS1696836","MGYS00001736","metagenomic",,"ERR1951252",
"MGYA00087173","3.0","ERS1458916","MGYS00001336","metagenomic",,"ERR1743324",
"MGYA00087160","3.0","ERS1458919","MGYS00001336","metagenomic",,"ERR1743327",
"MGYA00087216","3.0","ERS1458939","MGYS00001336","metagenomic",,"ERR1743347",
"MGYA00123079","3.0","ERS1696835","MGYS00001736","metagenomic",,"ERR1951251",
"MGYA00069163","3.0","ERS1261405","MGYS00001179","metagenomic",,"ERR1544446",
"MGYA00087126","3.0","ERS1458948","MGYS00001336","metagenomic",,"ERR1743356",
"MGYA00087150","3.0","ERS1458945","MGYS00001336","metagenomic",,"ERR1743353",
"MGYA00087195","3.0","ERS1458875","MGYS00001336","metagenomic",,"ERR1743283",
"MGYA00085383","3.0","ERS1443831","MGYS00001105","metagenomic",,"ERR1726462",
"MGYA00087141","3.0","ERS1458905","MGYS00001336","metagenomic",,"ERR1743313",
"MGYA00087147","3.0","ERS1458890","MGYS00001336","metagenomic",,"ERR1743298",
"MGYA00087122","3.0","ERS1458965","MGYS00001336","metagenomic",,"ERR1743373",
"MGYA00087196","3.0","ERS1458892","MGYS00001336","metagenomic",,"ERR1743300",
