"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00074390","3.0","ERS970422","MGYS00001225","metagenomic",,"ERR1135446",
"MGYA00074393","3.0","ERS970396","MGYS00001225","metagenomic",,"ERR1135420",
"MGYA00070246","3.0","ERS606406","MGYS00001193","metagenomic",,"ERR675620",
"MGYA00074262","3.0","ERS970256","MGYS00001225","metagenomic",,"ERR1135280",
"MGYA00070358","3.0","ERS606288","MGYS00001193","metagenomic",,"ERR675498",
"MGYA00128257","3.0","ERS765149","MGYS00001786","metagenomic",,"ERR1308106",
"MGYA00128235","3.0","ERS765171","MGYS00001786","metagenomic",,"ERR1308128",
"MGYA00071516","3.0","ERS1338479","MGYS00001214","metagenomic",,"ERR1614710",
"MGYA00133711","3.0","ERS1847588","MGYS00001912","metagenomic",,"ERR2059935",
"MGYA00133752","3.0","ERS1847611","MGYS00001912","metagenomic",,"ERR2059958",
"MGYA00074679","3.0","ERS970261","MGYS00001225","metagenomic",,"ERR1135285",
"MGYA00074532","3.0","ERS970336","MGYS00001225","metagenomic",,"ERR1135360",
"MGYA00094721","3.0","ERS1474378","MGYS00001380","metagenomic",,"ERR1762137",
"MGYA00074337","3.0","ERS970387","MGYS00001225","metagenomic",,"ERR1135706",
"MGYA00074478","3.0","ERS970363","MGYS00001225","metagenomic",,"ERR1135387",
"MGYA00074378","3.0","ERS970382","MGYS00001225","metagenomic",,"ERR1135701",
"MGYA00070352","3.0","ERS606406","MGYS00001193","metagenomic",,"ERR675621",
"MGYA00094742","3.0","ERS1474384","MGYS00001380","metagenomic",,"ERR1762109",
"MGYA00128381","3.0","ERS743175","MGYS00001787","metagenomic",,"ERR906545",
"MGYA00074445","3.0","ERS970272","MGYS00001225","metagenomic",,"ERR1135296",
"MGYA00128614","3.0","ERS723611","MGYS00001796","metagenomic",,"ERR878233",
"MGYA00094747","3.0","ERS1474386","MGYS00001380","metagenomic",,"ERR1762106",
"MGYA00074453","3.0","ERS970270","MGYS00001225","metagenomic",,"ERR1135294",
"MGYA00128549","3.0","ERS723662","MGYS00001796","metagenomic",,"ERR878287",
"MGYA00070427","3.0","ERS606300","MGYS00001193","metagenomic",,"ERR675510",
"MGYA00074240","3.0","ERS970410","MGYS00001225","metagenomic",,"ERR1135434",
"MGYA00133730","3.0","ERS1847605","MGYS00001912","metagenomic",,"ERR2059952",
"MGYA00074754","3.0","ERS970174","MGYS00001225","metagenomic",,"ERR1135198",
"MGYA00070366","3.0","ERS606335","MGYS00001193","metagenomic",,"ERR675545",
"MGYA00070535","3.0","ERS606315","MGYS00001193","metagenomic",,"ERR675525",
"MGYA00074451","3.0","ERS970385","MGYS00001225","metagenomic",,"ERR1135409",
"MGYA00128567","3.0","ERS723603","MGYS00001796","metagenomic",,"ERR878225",
"MGYA00074460","3.0","ERS970409","MGYS00001225","metagenomic",,"ERR1135728",
"MGYA00128404","3.0","ERS743195","MGYS00001787","metagenomic",,"ERR906565",
"MGYA00074225","3.0","ERS970282","MGYS00001225","metagenomic",,"ERR1135306",
"MGYA00074312","3.0","ERS970429","MGYS00001225","metagenomic",,"ERR1135453",
"MGYA00074545","3.0","ERS970320","MGYS00001225","metagenomic",,"ERR1135344",
"MGYA00128538","3.0","ERS723674","MGYS00001796","metagenomic",,"ERR878300",
"MGYA00074436","3.0","ERS970231","MGYS00001225","metagenomic",,"ERR1135255",
"MGYA00070300","3.0","ERS606419","MGYS00001193","metagenomic",,"ERR675635",
"MGYA00128352","3.0","ERS743173","MGYS00001787","metagenomic",,"ERR906543",
"MGYA00074394","3.0","ERS970368","MGYS00001225","metagenomic",,"ERR1135687",
"MGYA00131986","3.0","ERS1792350","MGYS00001857","metagenomic",,"ERR2011065",
"MGYA00074382","3.0","ERS970384","MGYS00001225","metagenomic",,"ERR1135703",
"MGYA00128587","3.0","ERS723650","MGYS00001796","metagenomic",,"ERR878274",
"MGYA00071535","3.0","ERS1338480","MGYS00001214","metagenomic",,"ERR1614724",
"MGYA00074367","3.0","ERS970409","MGYS00001225","metagenomic",,"ERR1135433",
"MGYA00133731","3.0","ERS1847599","MGYS00001912","metagenomic",,"ERR2059946",
"MGYA00070529","3.0","ERS606334","MGYS00001193","metagenomic",,"ERR675544",
"MGYA00128540","3.0","ERS723667","MGYS00001796","metagenomic",,"ERR878292",
"MGYA00094729","3.0","ERS1474384","MGYS00001380","metagenomic",,"ERR1762107",
"MGYA00128364","3.0","ERS743119","MGYS00001787","metagenomic",,"ERR906489",
"MGYA00133737","3.0","ERS1847591","MGYS00001912","metagenomic",,"ERR2059938",
"MGYA00074274","3.0","ERS970241","MGYS00001225","metagenomic",,"ERR1135265",
"MGYA00074708","3.0","ERS970407","MGYS00001225","metagenomic",,"ERR1135726",
"MGYA00074805","3.0","ERS970394","MGYS00001225","metagenomic",,"ERR1135713",
"MGYA00070443","3.0","ERS606308","MGYS00001193","metagenomic",,"ERR675518",
"MGYA00070192","3.0","ERS606296","MGYS00001193","metagenomic",,"ERR675506",
"MGYA00070260","3.0","ERS606340","MGYS00001193","metagenomic",,"ERR675550",
"MGYA00070417","3.0","ERS606290","MGYS00001193","metagenomic",,"ERR675500",
"MGYA00070317","3.0","ERS606372","MGYS00001193","metagenomic",,"ERR675582",
"MGYA00070457","3.0","ERS606439","MGYS00001193","metagenomic",,"ERR675655",
"MGYA00128383","3.0","ERS743201","MGYS00001787","metagenomic",,"ERR906571",
"MGYA00070247","3.0","ERS606445","MGYS00001193","metagenomic",,"ERR675661",
"MGYA00070345","3.0","ERS606339","MGYS00001193","metagenomic",,"ERR675549",
"MGYA00071524","3.0","ERS1338483","MGYS00001214","metagenomic",,"ERR1614728",
"MGYA00076571","3.0","ERS1353918","MGYS00001254","metagenomic",,"ERR1654748",
"MGYA00074607","3.0","ERS970380","MGYS00001225","metagenomic",,"ERR1135404",
"MGYA00103112","3.0","ERS1571334","MGYS00001559","metagenomic",,"ERR1855553",
"MGYA00094739","3.0","ERS1474383","MGYS00001380","metagenomic",,"ERR1762111",
"MGYA00074597","3.0","ERS970203","MGYS00001225","metagenomic",,"ERR1135227",
"MGYA00074374","3.0","ERS970424","MGYS00001225","metagenomic",,"ERR1135743",
"MGYA00128544","3.0","ERS723626","MGYS00001796","metagenomic",,"ERR878249",
"MGYA00128556","3.0","ERS723625","MGYS00001796","metagenomic",,"ERR878248",
"MGYA00074454","3.0","ERS970315","MGYS00001225","metagenomic",,"ERR1135339",
"MGYA00074280","3.0","ERS970422","MGYS00001225","metagenomic",,"ERR1135741",
"MGYA00074509","3.0","ERS970358","MGYS00001225","metagenomic",,"ERR1135677",
"MGYA00071534","3.0","ERS1338479","MGYS00001214","metagenomic",,"ERR1614709",
"MGYA00128316","3.0","ERS743151","MGYS00001787","metagenomic",,"ERR906521",
"MGYA00074409","3.0","ERS970182","MGYS00001225","metagenomic",,"ERR1135206",
"MGYA00074757","3.0","ERS970427","MGYS00001225","metagenomic",,"ERR1135451",
"MGYA00074488","3.0","ERS970333","MGYS00001225","metagenomic",,"ERR1135357",
"MGYA00128589","3.0","ERS723589","MGYS00001796","metagenomic",,"ERR878241",
"MGYA00074427","3.0","ERS970397","MGYS00001225","metagenomic",,"ERR1135421",
"MGYA00074487","3.0","ERS970216","MGYS00001225","metagenomic",,"ERR1135240",
"MGYA00128427","3.0","ERS743149","MGYS00001787","metagenomic",,"ERR906519",
"MGYA00070526","3.0","ERS606374","MGYS00001193","metagenomic",,"ERR675584",
"MGYA00128310","3.0","ERS743128","MGYS00001787","metagenomic",,"ERR906498",
"MGYA00074345","3.0","ERS970324","MGYS00001225","metagenomic",,"ERR1135348",
"MGYA00133741","3.0","ERS1847627","MGYS00001912","metagenomic",,"ERR2059974",
"MGYA00133738","3.0","ERS1847625","MGYS00001912","metagenomic",,"ERR2059972",
"MGYA00128237","3.0","ERS765155","MGYS00001786","metagenomic",,"ERR1308112",
"MGYA00074789","3.0","ERS970201","MGYS00001225","metagenomic",,"ERR1135225",
"MGYA00070430","3.0","ERS606319","MGYS00001193","metagenomic",,"ERR675529",
"MGYA00070459","3.0","ERS606354","MGYS00001193","metagenomic",,"ERR675564",
"MGYA00074413","3.0","ERS970326","MGYS00001225","metagenomic",,"ERR1135350",
